# 公開済み記事を note のマガジンへ追加するための一覧。
# 形式: note_id <TAB> マガジン名（複数は ／ 区切り）   ※ # 行と空行は無視
# 処理が済んだ行は先頭に DONE を付ける（set_magazine.py が自動で付ける）
#
# ★2026-09-23: マガジンは既に5つある（高岡の食 / English Articles / 高岡・富山を歩く /
#   仕事とAI / 北陸の暮らし）が、調べた39本は**どれも1つも入っていなかった**。
#   マガジンは note の回遊導線で、1本読んだ人が次を読む経路になる。
#   編成リスト（CMO/outputs/2026-06-29_note_マガジン編成リスト.md）は6月にできていたが、
#   owner が手でクリックする前提だったので実行されていなかった。
#
#   振り分けは **ハッシュタグ＋タイトル** で機械的に決めている（1記事あたり最大2つ）。
#   `English Articles` には自動で入れない（英語版の投稿用で、判断が要るため）。
#
#   owner の Mac で:
#     cd ~/agent-team-run && bash ops/fix_magazines.sh --probe   ← まず実測（何も変えない）
#     cd ~/agent-team-run && bash ops/fix_magazines.sh --max 5   ← 5本で試す
#     cd ~/agent-team-run && bash ops/fix_magazines.sh           ← 残り全部
nc7a3522ade60	高岡の食
n56f284ca4fbf	高岡の食
n025a57e50884	高岡・富山を歩く
n23f95d4e25c9	高岡の食
n34a423bf25de	高岡・富山を歩く
n8b3773143166	高岡の食／高岡・富山を歩く
na889c3862499	高岡の食
ndc07d271605c	高岡の食
n73efb33db730	高岡の食
n13aa4e281fd5	高岡の食／高岡・富山を歩く
na2218fba8640	高岡の食
n5c4ee05d7b7b	高岡の食
ned78ad5ee024	北陸の暮らし
n63b5318141f6	高岡・富山を歩く
n09933b286612	高岡の食
n88c12c3cedae	北陸の暮らし
n5ffd70da907b	高岡の食
n1ccb0065472f	高岡の食
nc25b1a7f72fb	高岡の食
n58afa9807d20	高岡・富山を歩く
ncd002e46c5ae	高岡の食
nc2a17d100e92	北陸の暮らし
n9ce371a27502	北陸の暮らし
n34be1f9c22f5	高岡・富山を歩く
n75f01c532069	高岡・富山を歩く
n43ef5c46027e	高岡の食
ne9436e34e84c	高岡の食
n135853de0716	北陸の暮らし
nc188ca19aafa	高岡の食
n80636011df5f	北陸の暮らし
nf24e87d5fa8b	高岡・富山を歩く
n0855af36e37e	高岡の食／高岡・富山を歩く
ndd9254085506	高岡の食
n3f0b434876f9	北陸の暮らし
n8fb0e8744420	北陸の暮らし
nb6efe66dc3f3	北陸の暮らし
n31160f1d801d	高岡の食
n531495097da5	高岡・富山を歩く
nca13899b62c5	高岡の食
nc54ca5114fa2	高岡の食
n0d4f1b490d09	高岡の食
n097cca9fa4a6	高岡の食
n13b8d8276acb	北陸の暮らし
na958299320ea	北陸の暮らし
n94125f32d208	北陸の暮らし
n7756798663c0	高岡の食
n3372e1361808	高岡の食
n21ee5c9c09e6	高岡の食
nd89da256a68d	高岡の食
ne1447c7fa2e8	高岡の食
n8df70f2edca6	高岡の食
n348078642951	高岡・富山を歩く
n0d7f17843c1b	高岡・富山を歩く／仕事とAI
ne6ab4cc3191d	北陸の暮らし
n54f74e74a12e	高岡の食
n44f7f928b501	北陸の暮らし
n8acc12f6a576	北陸の暮らし
n626ece1c9c6f	高岡の食
n688348718444	北陸の暮らし
n3c6dce64437a	高岡の食
n7750a5cf6e23	高岡の食
n5235a8f7fc7e	北陸の暮らし
nf32d80bcdcc2	高岡の食
n7346ca10c14e	仕事とAI
n4820e9f55ff2	北陸の暮らし
n143c667595b6	高岡の食
nf0d70f771e55	北陸の暮らし
nc0e7e72b674d	北陸の暮らし
n1314d08cf5d2	高岡の食
n51f8c539af03	北陸の暮らし
nade71b4d3898	高岡の食
n01a40e502979	北陸の暮らし
n0d8fdb9d0b43	北陸の暮らし
n40788cb6327a	北陸の暮らし
n7f0a3e4496ea	高岡の食
n2ee66207d121	高岡の食
nad88560bf652	北陸の暮らし
n8f22eda25df9	北陸の暮らし
naf9ee043df72	北陸の暮らし
n486c5f74d316	高岡の食
n99127b6a3bed	北陸の暮らし
nd5a8290f78d0	北陸の暮らし
nfff7e14347c8	高岡の食
nbbd13e58ae19	高岡・富山を歩く
n734ea921fcea	北陸の暮らし
n5c4a033d2597	高岡の食
n6e2522bc9952	高岡の食
n6e1ec3ffbd02	北陸の暮らし
nc7298065295f	北陸の暮らし
n7bccfe24f905	北陸の暮らし
ne56b5227f1c8	北陸の暮らし
n16fe9e9e5c12	北陸の暮らし
n37073f8f1a77	高岡の食
nbd28a465d55b	高岡の食
nf128db66575a	北陸の暮らし
n185c079a4699	高岡の食
ne5465bde9682	高岡の食
n6831b6aafc9f	高岡の食
n37e63bc6611c	北陸の暮らし
nce5b91162352	北陸の暮らし
n4a9c940043ce	北陸の暮らし
ndd3f5a3d0f13	高岡の食
n9a6ccdebd72b	北陸の暮らし
nb46f8fab7600	高岡の食
n8f7926fc05e7	北陸の暮らし
n1996bbcd70cc	高岡の食
n21bd0b732dd3	北陸の暮らし
n5681b73afe1e	北陸の暮らし
nc6ccf2ee4f11	北陸の暮らし
n8cfaa6780f45	北陸の暮らし
n18c0c40e1477	高岡の食
nec338a436f05	北陸の暮らし
nac019b6530b9	北陸の暮らし
nf16a9483493d	高岡の食
n34c4383b623d	北陸の暮らし
n5d8ab11ef8bd	高岡の食
nf01b94018868	北陸の暮らし
nb1b0718a4276	北陸の暮らし
nff04ac8ee259	北陸の暮らし
ncb516b6ca726	高岡・富山を歩く
n2ec7fcced72a	高岡の食
n951e3262b23c	北陸の暮らし
n0a3125a83e82	北陸の暮らし
n9d8b69c5f58c	北陸の暮らし
n1bbb920a0ee7	高岡の食
na1ce1b519aaf	北陸の暮らし
n54d010249887	北陸の暮らし
