# _shared_ok.tsv — 「採用済みの見出し画像どうしで同じ1枚を共有している」ことを監査した記録。
# 形式: md5<TAB>監査日<TAB>理由
#
# なぜ要るか:
#   R2d は「1枚の汎用画像が無関係な記事に配られる」事故を捕まえるための検査で、
#   2026-09-22 に **verified 同士も必ず明細に出す** ようにした（verified なら意図的、は成り立たなかったため）。
#   ただしその結果、**同一題材の別記事に同じ実写を使っている正常な組**が毎回7組出続けることになった。
#   直す必要のないものを毎日出すと、**本当に新しく現れた共有がその中に埋もれる**。
#   そこで「見た」という判断をここに1回だけ書き、**台帳に無い組だけ**を検査が出すようにした。
#
# 追記のしかた:
#   R2d が「未監査 N組」と言ったら、その組の画像と記事を実際に見る。
#   同一題材の意図的な流用なら md5 をここへ。**違う題材に同じ画像が付いていたら、ここへは書かず**
#   `_verified.txt` から外して取り直す（それが本来この検査が捕まえたいもの）。
#
# ⚠️ thumbnails/ は .gitignore 対象なので、**このファイルは git add -f が要る**（R13 が追跡を監視）。
#
# 2026-09-23 初回登録: 下の7組はすべて同一題材の別記事で、意図して同じ実写を使っている。
2acd6a18b80b5acd0fad6b9ce8d30af1	2026-09-23	同一題材（花火）の別記事2本（大会そのものと、その帰り道）。※画像は川と橋を背にした大会の写真で、**撮影地は富山ではない可能性が高い**（橋とナイアガラの形から県外の大会と見える）。花火そのものは写っているので流用は可とするが、記事側で撮影地を断定しない。 対象: 2026-07-29_note記事_花火大会_地方の夏の一大イベント / 2026-08-15_note記事_花火の帰り_遠くの音を背に
3298c1ae5c7d4b800f849eb53f93e8a6	2026-09-23	同一題材（かき氷）の別記事2本。同じ実写を意図的に流用。 対象: 2026-07-30_note記事_かき氷_夏のごほうび / 2026-08-17_note記事_かき氷_削りたてを急いで食べる
4fdab6cfbe78e35da88dd2836446bba0	2026-09-23	高岡大仏の記事と、大仏を通る高岡の街歩き記事。被写体は同じ像で、どちらの主題にも合う。※ただし**参拝者が写り込んでいる**（手前に後ろ姿1名、奥に数名）。「人物が写るものは使わない」という自分の基準からは外れており、**今から採るなら採らない**。公開済みのため記録だけ残す。 対象: 2026-06-07_note記事_高岡大仏_銅の町には銅の大仏がい / 2026-08-25_note記事_高岡_江戸から昭和への時間旅行
6526078bccf342e6b1dd14147b0d940c	2026-09-23	同一題材（蚊取り線香）の別記事2本。同じ実写を意図的に流用。 対象: 2026-08-01_note記事_蚊取り線香_夏の夜のにおい / 2026-08-17_note記事_蚊取り線香_煙のかたちで夏を思い
7255eeed850838a995e7b8b94577c82b	2026-09-23	同一題材（鮎）の別記事2本（庄川／神通川）。川は違うが写っているのは鮎そのもの。 対象: 2026-06-15_note記事_庄川の鮎 / 2026-07-08_note記事_jinzu-river-ayu-
e473d517d803b5baef4dc22334982e36	2026-09-23	同一題材（高岡コロッケ）の記事3本。強化版・別稿を含む。 対象: 2026-06-03_note記事_高岡コロッケ_鋳物の町のB級グル / 2026-08-25_note記事_高岡コロッケ_地元民が毎日食べる / 2026-08-25_note記事_高岡コロッケ_脇役を主菜にする食
1bb4ac1a37590575f6624de774bb2732	2026-09-24	富山湾の海岸（氷見）を「富山湾はなぜ魚の宝庫か」と「海水浴」で共有。どちらも**同じ海を別の角度から書いた記事**で、絵として矛盾しない
590157d5ceee8f4130ee4eae9f438f03	2026-09-24	ススキを「夏の終わりの気配」と「十五夜」で共有。どちらもススキが題材そのもの
9d4bd1e435a73520542257290a44f552	2026-09-24	畑のスイカを「スイカ」と「スイカ割り」で共有。同一題材
a5988fe26db76de6992993735e548e7c	2026-09-24	紅ずわいがに。**同じ題材で2本ある**（2026-06-13 と 06-16）ので同じ写真になる
b53d7553f788bef02d744f7e1ebee81f	2026-09-24	枝豆。**同じ題材で2本ある**（2026-08-03 と 08-17）ので同じ写真になる
e073d686824e73cf3297c6d7d24866da	2026-09-24	傘立てを「置き傘」と「富山の空（傘を忘れるな）」で共有。どちらも傘が題材
